name,category,site,website,phone,borough,address,open,online,takeaway,delivery,appointment,note,gid,lat,lng
Biltmore Domicile,Mode et accessoires,Site,https://biltmorefurniture.com/,(514) 288-7632,Boul. Saint-Laurent,"4419 Boul St-Laurent, Montréal, QC H2W 1Z8, Canada",,,,,Oui,"mode-magasinage,maison-et-deco  HEURES REDUITES (L-D 12h à 17h) OU SUR RDV",ChIJL4f249IbyUwRjDn-QrfPrPA,45.5197114,-73.5851641
Bkind,Autres commerces et services,Site,http://www.bkind.com/,,Boul. Saint-Laurent,"3455 Boul St-Laurent, Montréal, QC H2X 2T6, Canada",Ouvert ou activité réduite,,Oui,,, FERMÉ MAIS EN ACTIVITÉ https://bkind.com/,ChIJFen7e10QyUwRF9v6itDc4Kw,45.5130177,-73.5702932
Bmo Banque De Montreal,Autres commerces et services,Site,https://branches.bmo.com/qc/montreal/b2120/,(514) 277-1060,Boul. Saint-Laurent,"5060 Boul St-Laurent, Montréal, QC H2T 1R7, Canada",Ouvert ou activité réduite,,,,,"gestion-services,services-financiers OUVERT  AVEC HORAIRE REDUIT (L-V : 10H à 16H)",ChIJnxq77dUbyUwR04GGf3-uzjI,45.5228485,-73.5927919
Bocadillo,Alimentation,Site,https://www.bocadillomtl.com/,(514) 227-4041,Boul. Saint-Laurent,"3677 Boul St-Laurent, Montréal, QC H2X 2V5, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ GOLO, Uber Eats and Doordash",ChIJcTFCEjUayUwR-6bwwEa_n3M,45.5147222,-73.5738889
Bois Ideal Rona,Mode et accessoires,Site,http://www.boisideal.com/,(514) 844-1963,Boul. Saint-Laurent,"4100 Boul St-Laurent, Montréal, QC H2W 1Y8, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,quincailleries-electronique OUVERT Par téléphone - Livraison même jour/deux-jours",ChIJwyOgKs0byUwRWLw7CgX1bZg,45.5173534,-73.5804766
Bombay Mahal Express,Alimentation,Site,http://www.bombaymahalexpress.ca/,(438) 386-3331,Boul. Saint-Laurent,"3681 Boul St-Laurent, Montréal, QC H2X 2V5, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ foodora.ca",ChIJ7-IlEjUayUwR4D73r8NyBV8,45.5146967,-73.5739971
Bonsai 3723 A,Autres commerces et services,Site,foodora.ca,(514) 415-4561,Boul. Saint-Laurent,3723 Saint-Laurent,Ouvert ou activité réduite,,Oui,Oui,,N'existe pas dans le serveur FERMÉ MAIS EN ACTIVITÉ foodora.ca,,,
Boulangerie Samos,Alimentation,,,(514) 845-8033,Boul. Saint-Laurent,"4379 Boul St-Laurent, Montréal, QC H2W 1Z8, Canada",Ouvert ou activité réduite,,,,,"manger-boire,patisseries-boulangeries OUVERT ",ChIJUdmC7NIbyUwRvZQ1KcEd-MQ,45.519403,-73.5844208
Boutique 1861,Mode et accessoires,Site,http://www.1861.ca/,514-903-1861,Boul. Saint-Laurent,"3670 Boul St-Laurent, Montréal, QC H2X 2V4, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://1861.ca/",ChIJLQ6BiWsayUwRU4IrlvJYBmc,45.5143428,-73.5738585
Boutique Lustre,Mode et accessoires,Site,https://boutiquelustre.com/,,Boul. Saint-Laurent,"4068 Boul St-Laurent, Montréal, QC H2W 1Y9, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://boutiquelustre.com/",ChIJGw7ALDMayUwR7ljxKM_kFRE,45.517138,-73.580105
Boutique Yang,Mode et accessoires,Site,http://www.yang.boutique/,,Boul. Saint-Laurent,"3779 Boul St-Laurent, Montréal, QC H2W 1X8, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://www.yang.boutique/",ChIJyzzR4DQayUwRoKzFUe9IC9E,45.5153758,-73.5755905
Buanderie St-laurent,Autres commerces et services,,,(514) 898-7378,Boul. Saint-Laurent,"3644 Boul St-Laurent, Montréal, QC H2X 2V4, Canada",Ouvert ou activité réduite,,,,,"gestion-services,voyage-hebergement OUVERT ",ChIJTbs1dzUayUwRGP_NZ5Iqh4I,45.5140289,-73.5732814
Café Bistro,Restos et Cafés,,,(514) 906-2593,Boul. Saint-Laurent,"4190 Boul St-Laurent, Montréal, QC H2W 1Z3, Canada",,,,,,"manger-boire,cafes  ",ChIJsZ6TSM0byUwR127XUd6ze-w,45.5179608,-73.5819953
Café La Lippée,Restos et Cafés,,,(514) 280-9663,Boul. Saint-Laurent,"3981 Boul St-Laurent, Montréal, QC H2W 1Y5, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,cafes FERMÉ MAIS EN ACTIVITÉ Foodora (pas encore sur foodora)",ChIJwyaFTjMayUwRZp7hnINJcHg,45.516741,-73.5785167
Caravane Vintage,Mode et accessoires,Site,http://www.lacaravanevintage.com/,,Boul. Saint-Laurent,"4116 Boul St-Laurent, Montréal, QC H2W 1Y8, Canada",Ouvert ou activité réduite,,Oui,,, FERMÉ MAIS EN ACTIVITÉ ,ChIJe9yd2ucbyUwRrT3Boy4nfN8,45.517483,-73.580915
Cat's Corner,Autres commerces et services,Site,http://www.catscorner.ca/,,Boul. Saint-Laurent,"3451 Boul St-Laurent #300, Montréal, QC H2X 2T6, Canada",Fermé,,,,, FERMÉ / COURS EN LIGNE  https://www.facebook.com/CatsCornerMontreal/?__tn__=%2CdkC-R-R&eid=ARD7LTTJXASBhnht9kHbXYrHBXi6OHMGxpq5X3c_sG7L1fGujamL0Wo0UcC9C1S-C7u8PObfFdYvuuYM&hc_ref=ARRPDujjFQg8QiSUqiaa0RDeHyzWzlxkOL4Hbfb_SBx5DrUMuUUlvzeTrLk6FQl5wOY&fref=gs&dti=1651637455105819&hc_location=group,ChIJUZ38mEUayUwRsidHHNO0D2w,45.5130688,-73.5702704
Centrale Bergham,Alimentation,Site,http://www.bergham.com/,(514) 331-9000,Boul. Saint-Laurent,"3467 Boul St-Laurent, Montréal, QC H2X 2T6, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ Uber eats, Foodora, Skip the dishes, Doordash ",ChIJhQwTWkoayUwRrT54TcPun4U,45.5130892,-73.5704564
Centre Compassion De Montréal,"Santé, sports, beauté et bien-être",Site,http://www.clubcompassion.org/,(514) 521-8764,Boul. Saint-Laurent,"4135 Boul St-Laurent, Montréal, QC H2W 1Y7, Canada",,,,,,"beaute-bien-etre,soins-de-sante-cliniques  ",ChIJtzLDLc0byUwRA-cC5UTqEkQ,45.5177715,-73.5808761
Charcuterie Fairmount,Alimentation,,,(514) 288-8046,Boul. Saint-Laurent,"3833 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,boucheries-poissonneries-delicatessen OUVERT Par téléphone ",ChIJIceuvzQayUwRH34batc8550,45.5158251,-73.5764959
Charcuterie Hongroise,Alimentation,,,(514) 844-6734,Boul. Saint-Laurent,"3843 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,,Oui,,"manger-boire,boucheries-poissonneries-delicatessen OUVERT -",ChIJq4aEvjQayUwRS8w73mW5iRo,45.5158473,-73.5766292
Citizen Vintage,Mode et accessoires,Site,http://citizenvintage.com/,(438) 387-3927,Boul. Saint-Laurent,"4059 Boul St-Laurent, Montréal, QC H2W 1Y7, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode,vintage-friperies FERMÉ MAIS EN ACTIVITÉ http://www.citizenvintage.com/",ChIJT1PLMjMayUwRjSBRewQ7Fxs,45.5172057,-73.57953
Clinique Medicale Avicenne,"Santé, sports, beauté et bien-être",Site,http://cliniqueavicenne.ca/,(514) 849-7373,Boul. Saint-Laurent,"6005 Boul Henri-Bourassa O, Saint-Laurent, QC H4R 1C4, Canada",Ouvert ou activité réduite,,,,,soins-de-sante-cliniques OUVERT -,ChIJA_f38L8yVUARMuLLBlFZLic,45.5154382,-73.7190964
Clinique Medicale Nova,"Santé, sports, beauté et bien-être",,,(514) 987-0080,Boul. Saint-Laurent,"3755 Boul St-Laurent, Montréal, QC H2W 1X8, Canada",Ouvert ou activité réduite,,,,,"beaute-bien-etre,soins-de-sante-cliniques SERVICE ESSENTIEL ",ChIJ3xEz5zQayUwRAQ658GhfGNg,45.5152804,-73.5753592
Coco Rico,Restos et Cafés,Site,https://coco-rico-portuguese-rotisserie-bbq.business.site/?utm_source=gmb&utm_medium=referral,(514) 849-5554,Boul. Saint-Laurent,"3907 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,,Oui,,"manger-boire,comfort-food,restos FERMÉ MAIS EN ACTIVITÉ Livraison à venir ",ChIJmxGmVzMayUwRBkGD0Gt0y8o,45.516403,-73.5777363
Comptant.com,Mode et accessoires,Site,http://www.comptant.com/,(514) 842-3331,Boul. Saint-Laurent,"3860 Boul St-Laurent, Montréal, QC H2W 1Y2, Canada",,,,,,"mode-magasinage,quincailleries-electronique,vintage-friperies  ",ChIJNzGPpDQayUwRszXq_SGzsNc,45.5159579,-73.5773578
Corail Blanc,Mode et accessoires,Site,http://www.corailblanc.com/,(514) 903-1733,Boul. Saint-Laurent,"3652 Boul St-Laurent, Montréal, QC H2X 2V4, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,bijouteries FERMÉ MAIS EN ACTIVITÉ https://www.corailblanc.com/",ChIJlZ2FczUayUwR692i01-G-BE,45.5142074,-73.5736686
Couche-tard,Alimentation,Site,https://www.couche-tard.com/trouvez-votre-magasin/CA/montral/4910-boul-st-laurent/392?utm_source=google&utm_medium=local&utm_campaign=couche_tard,(514) 284-3146,Boul. Saint-Laurent,"4910 Boul St-Laurent, Montréal, QC H2T 1R5, Canada",Ouvert ou activité réduite,,,,,"manger-boire,epiceries-depanneurs-tabagies OUVERT  ",ChIJhT4StNUbyUwRoge4by9brIc,45.5222206,-73.5912732
Couture Lucia,Mode et accessoires,,,(514) 721-5498,Boul. Saint-Laurent,"4431 Boul St-Laurent, Montréal, QC H2W 1Z8, Canada",,,,,,"mode-magasinage,accessoires-couture  ",ChIJbwN949IbyUwRHJDk5JYQ3NI,45.519749,-73.585292
Curry Mahal,Restos et Cafés,Site,http://currymahalmontreal.com/,(514) 507-1144,Boul. Saint-Laurent,"3814 Boul St-Laurent, Montréal, QC H2W 1X6, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,restos FERMÉ MAIS EN ACTIVITÉ currymahalmontreal.com, foodora.ca, just-eat.ca, skipthedishes.com",ChIJ2-7jvzQayUwRdMszyQoNOgE,45.5155472,-73.5765782
Depanneur Dl,Alimentation,,,,Boul. Saint-Laurent,"4171 Boul St-Laurent, Montréal, QC H2W 1Y7, Canada",Ouvert ou activité réduite,,,,,"manger-boire,epiceries-depanneurs-tabagies OUVERT ",ChIJ11JYN80byUwRrG-HPhsIK-g,45.5179947,-73.5814097
Design Zola,Mode et accessoires,Site,http://www.designzola.com/,,Boul. Saint-Laurent,"4441 Boul St-Laurent, Montréal, QC H2W 1Z8, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,maison-et-deco FERMÉ MAIS EN ACTIVITÉ https://www.designzola.com/",ChIJlXEs49IbyUwRP-6dy4F-aSA,45.519871,-73.585388
Dime Mtl,Mode et accessoires,Site,http://dimemtl.com/,(514) 504-9909,Boul. Saint-Laurent,"3632 Boul St-Laurent, Montréal, QC H2X 2V4, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://dimemtl.com/collections/all",ChIJ7YomdzUayUwRWQzv1y5Ovgs,45.5141013,-73.5732812
Dirty Dogs,Alimentation,Site,https://m.facebook.com/DirtyDogsMontreal/,(514) 508-3647,Boul. Saint-Laurent,"3685 Boul St-Laurent, Montréal, QC H2X 2V5, Canada",Fermé,,,,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ doordash.com",ChIJPR-iETUayUwRgob6yPWYfr4,45.514724,-73.574113
Dispatch Coffee,Restos et Cafés,Site,http://dispatchcoffee.ca/,,Boul. Saint-Laurent,"4021 Boul St-Laurent, Montréal, QC H2W 1Y4, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,cafes FERMÉ MAIS EN ACTIVITÉ https://dispatchcoffee.ca/collections/all",ChIJ__8PNTMayUwRA4Ovujm_Oro,45.5170266,-73.5790839
Dollarama,Mode et accessoires,Site,https://www.dollarama.com/fr-CA/localisateur/qc/montreal-3817-boul-saint-laurent?utm_source=G&utm_medium=LPM&utm_campaign=Dollarama,(514) 845-4159,Boul. Saint-Laurent,"3817 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,,,,"mode-magasinage,fleuristes-cadeaux-artisanat OUVERT ",ChIJ14swwDQayUwRwjy9PBjrNh4,45.5157493,-73.5762135
Domino's Pizza,Alimentation,Site,https://pizza.dominos.ca/montreal-quebec-10659/,,Boul. Saint-Laurent,"35 Rue Rachel O, Montréal, QC H2W 2T1, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food OUVERT https://pizza.dominos.ca/montreal-quebec-10659/",ChIJ35W1YwRzhlQRU1grjjIhd8M,45.5176338,-73.5822521
Dormez-vous,Mode et accessoires,Site,https://www.dormezvous.com/,(514) 844-7927,Boul. Saint-Laurent,"4220 Boul St-Laurent, Montréal, QC H2W 1Z3, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,maison-et-deco FERMÉ MAIS EN ACTIVITÉ https://www.dormezvous.com/",ChIJezVxRc0byUwRBIV1dTXeMlc,45.5180301,-73.5824701
Edible Arrangements,Mode et accessoires,Site,https://www.ediblearrangements.ca/stores/3636-boul-saint---laurent-montreal-qc-h2x-2v4,(514) 842-3279,Boul. Saint-Laurent,"3636 Boul St-Laurent, Montréal, QC H2X 2V4, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,epiceries-depanneurs-tabagies,mode-magasinage,fleuristes-cadeaux-artisanat FERMÉ MAIS EN ACTIVITÉ https://www.ediblearrangements.ca/",ChIJsRFMF8wbyUwRWQinN-L3oLk,45.5140567,-73.5733908
Épicerie Segal,Alimentation,,,(514) 845-4716,Boul. Saint-Laurent,"4001 Boul St-Laurent, Montréal, QC H2W 1Y4, Canada",Ouvert ou activité réduite,,Oui,,,"manger-boire,epiceries-depanneurs-tabagies OUVERT Livraison - Préparation de la commande en personne",ChIJl3uSSTMayUwRwylcTPIHs9I,45.5168692,-73.5788495
Eq3,Mode et accessoires,Site,https://www.eq3.com/ca/fr/?utm_source=google&utm_medium=gmb&utm_campaign=gmb-sitelink&utm_content=20191017--google-my-business-website-link,,Boul. Saint-Laurent,"4428 Boul St-Laurent, Montréal, QC H2W 1Z5, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,maison-et-deco FERMÉ MAIS EN ACTIVITÉ https://www.eq3.com/ca/en/shopwithus/eq3-locations-details/cjw10z96t00cw6gs04aeyfqxf/montr%C3%A9al/eq3-montreal-st-laurent",ChIJhSWK4tIbyUwRduFmxFreZdM,45.5195907,-73.5858035
Esso - Couche Tard ,Autres commerces et services,Site,https://www.esso.ca/en-ca/find-station/200302684,(514) 285-1047,Boul. Saint-Laurent,"3440 Boul St-Laurent, Montréal, QC H2X 2T9, Canada",Ouvert ou activité réduite,,,,,"gestion-services,stationnement-postesdessence,manger-boire,epiceries-depanneurs-tabagies OUVERT  ",ChIJMaTnTUoayUwRIDkoITePklc,45.5124685,-73.5700959
Fellini Designs,Mode et accessoires,Site,http://www.fellinidesigns.com/,info@fellinidesigns,Boul. Saint-Laurent,"4819 Boul St-Laurent, Montréal, QC H2T 1R5, Canada",Fermé,,,,,"mode-magasinage,maison-et-deco FERMÉ MAIS EN ACTIVITÉ http://www.fellinidesigns.com/",ChIJFQqES9QbyUwRflPaoCSXYOo,45.5218716,-73.5898591
Fido,Mode et accessoires,Site,https://www.fido.ca/consumer/storelocator?store=344778382,(514) 439-9934,Boul. Saint-Laurent,"4190 Boul St-Laurent, Montréal, QC H2W 1Z3, Canada",,,,,,"gestion-services,support-informatique-telecommunications,mode-magasinage,quincailleries-electronique  ",ChIJPXxbSM0byUwRIGfp5fz9olc,45.5180245,-73.582052
Fleuriste De Lune,Mode et accessoires,Site,http://www.fleuristedelune.com/,(514) 284-1118,Boul. Saint-Laurent,"4081 Boul St-Laurent, Montréal, QC H2W 1Y7, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,fleuristes-cadeaux-artisanat FERMÉ MAIS EN ACTIVITÉ https://www.fleuristedelune.com/",ChIJ41x208wbyUwR1cHlIghTiMk,45.517402,-73.57989
Frenco,"Santé, sports, beauté et bien-être",Site,http://www.frenco.ca/,(514) 285-1319,Boul. Saint-Laurent,"3985 Boul St-Laurent, Montréal, QC H2W 1Y4, Canada",Ouvert ou activité réduite,,,Oui,,"beaute-bien-etre,bien-etre-yoga,manger-boire,epiceries-depanneurs-tabagies OUVERT Par téléphone",ChIJPf9EW-YYyUwR7mAy8uBpH8c,45.5167566,-73.5786042
Frite Alors!,Alimentation,Site,http://www.fritealors.com/,(514) 840-9000,Boul. Saint-Laurent,"3497 Boul St-Laurent, Montréal, QC H2X 2T6, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,comfort-food FERMÉ MAIS EN ACTIVITÉ https://fritealors.com/",ChIJB79mXkoayUwRZ-50UjMpvD4,45.513275,-73.5709073
Galerie Noel Guyomarc'h,Mode et accessoires,Site,https://www.galerienoelguyomarch.com/,info@galerienoelguyomarch.com ,Boul. Saint-Laurent,"4836 Boul St-Laurent, Montréal, QC H2T 1R5, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,bijouteries FERMÉ MAIS EN ACTIVITÉ https://www.galerienoelguyomarch.com/",ChIJk3JxfNUbyUwRNu39-6_ux5I,45.5217337,-73.5901918
Gymnastique Sur Table,"Santé, sports, beauté et bien-être",Site,http://www.gymnastiquesurtable.com/,(514) 274-3110,Boul. Saint-Laurent,"4416 Boul St-Laurent studio 301, Montréal, QC H2W 1Z5, Canada",Ouvert ou activité réduite,,Oui,,,"beaute-bien-etre,bien-etre-yoga,conditionnement-physique,soins-de-sante-cliniques FERMÉ/ COURS EN LIGNE A VENIR https://www.facebook.com/gymsurtable.fitnesstable/",ChIJSajj1dyqyUwRPsmtzLLyEBU,45.5195853,-73.5855433
Harbin Dumplings,Restos et Cafés,Site,https://www.facebook.com/harbindumplings/,(438) 380-5607,Boul. Saint-Laurent,"4801 Boul St-Laurent, Montréal, QC H2T 1R6, Canada",Ouvert ou activité réduite,,,Oui,,"manger-boire,comfort-food,restos FERMÉ MAIS EN ACTIVITÉ ",ChIJhXJIZtQbyUwRApPPchh9fmY,45.5216,-73.5893745
Harry Toulch Vision,Mode et accessoires,Site,http://www.toulch.com/,,Boul. Saint-Laurent,"3750 Boul St-Laurent, Montréal, QC H2W 1X6, Canada",Fermé,,,,,"beaute-bien-etre,soins-de-sante-cliniques,mode-magasinage,lunetteries FERMÉ MAIS EN ACTIVITÉ info@harrytoulch.com",ChIJz-fBNDMayUwRgraNAZFiv2Y,45.51503,-73.5752849
Interversion,Mode et accessoires,Site,https://www.interversion.com/,(514) 284-2103,Boul. Saint-Laurent,"4273 Boul St-Laurent, Montréal, QC H2W 1Z4, Canada",Fermé,,,,Oui,"mode-magasinage,maison-et-deco FERMÉ MAIS EN ACTIVITÉ RDV ET DISPONIBLES PAR TELEPHONE OU PAR COURRIEL",ChIJYV5gX80byUwRJQXkoqKngZ8,45.5186786,-73.5829521
Itronics,Mode et accessoires,,,1 888-831-1642,Boul. Saint-Laurent,"4401 St Laurent Blvd, Montreal, Quebec H2W 1Z8, Canada",,,,,,"gestion-services,support-informatique-telecommunications,mode-magasinage,quincailleries-electronique  ",,45.519571,-73.5847869
J. Schreter,Mode et accessoires,Site,http://www.schreter.com/,,Boul. Saint-Laurent,"4358 Boul St-Laurent, Montréal, QC H2W 1Z5, Canada",Ouvert ou activité réduite,,Oui,,,"mode-magasinage,mode FERMÉ MAIS EN ACTIVITÉ https://www.schreter.com/",ChIJO2Ymv9IbyUwRkdrGi6Yb2ik,45.5190697,-73.5844261
J.& L. Accessoires De Couture,Mode et accessoires,,,(514) 844-4351,Boul. Saint-Laurent,4275 Saint-Laurent,Ouvert ou activité réduite,,,,,"mode-magasinage,accessoires-couture OUVERT ",,,
Jano,Restos et Cafés,Site,http://www.janogrillades.ca/,(514) 849-0646,Boul. Saint-Laurent,"3883 Boul St-Laurent, Montréal, QC H2W 1X9, Canada",Ouvert ou activité réduite,,Oui,Oui,,"manger-boire,restos FERMÉ MAIS EN ACTIVITÉ doordash.com, ubereats.com",ChIJJTF2pjQayUwR-8s5ezX-ZQQ,45.51621,-73.577284
Jean Coutu,"Santé, sports, beauté et bien-être",Site,http://www.jeancoutu.com/localisateur/detail/3745-boulevard-Saint-Laurent/Montreal/QC/H2W1X8/204/,,Boul. Saint-Laurent,"3745 Boul St-Laurent, Montréal, QC H2W 1X8, Canada",Ouvert ou activité réduite,,,,,"beaute-bien-etre,soins-de-sante-cliniques OUVERT  ",ChIJQzbt4TQayUwRTeLXVeL3UhI,45.5152589,-73.5752487
